,premise,hypothesis,label,premise_fr,hypothesis_fr
448,Young blond woman putting her foot into a water fountain,A young blond woman is sitting down on a beach chair.,2,Une jeune femme blonde mettant son pied dans une fontaine,Une jeune femme blonde est assise sur une chaise de plage.
449,Young blond woman putting her foot into a water fountain,A person is dipping her foot into water.,0,Une jeune femme blonde mettant son pied dans une fontaine,Une personne plonge son pied dans l'eau.
450,A young woman tries to stick her foot in a fountain.,The woman is riding a train.,2,Une jeune femme essaie de s'enfoncer dans une fontaine.,La femme se déplace en train.
451,A young woman tries to stick her foot in a fountain.,A woman is near a fountain.,0,Une jeune femme essaie de s'enfoncer dans une fontaine.,Une femme se trouve à proximité d'une fontaine.
452,A young woman tries to stick her foot in a fountain.,The woman has one foot in the air.,0,Une jeune femme essaie de s'enfoncer dans une fontaine.,La femme a un pied dans l'air.
453,A woman in capri jeans crouches on the edge of a fountain with her left foot kicked out to touch the falling water.,A woman is walking in park,2,Une femme en jeans de capri crouche sur le bord d'une fontaine et son pied gauche a été frappé pour toucher l'eau tombante.,Une femme marche dans le parc
454,A woman in capri jeans crouches on the edge of a fountain with her left foot kicked out to touch the falling water.,A woman is very eager to touch the water,1,Une femme en jeans de capri crouche sur le bord d'une fontaine et son pied gauche a été frappé pour toucher l'eau tombante.,Une femme est très désireuse de toucher l'eau
455,A woman in capri jeans crouches on the edge of a fountain with her left foot kicked out to touch the falling water.,A woman is like to touch the water in fountain,0,Une femme en jeans de capri crouche sur le bord d'une fontaine et son pied gauche a été frappé pour toucher l'eau tombante.,Une femme aime toucher l'eau dans la fontaine
456,Woman balancing on edge of fountain while sticking her toe in the water.,A woman stand on a fountain and dips her toes in.,0,Woman balancing on edge of fountain while sticking her toe in the water.,Une femme s'asseoir sur une fontaine et s'enfonce.
457,Woman balancing on edge of fountain while sticking her toe in the water.,A woman sits on the grassy ground.,2,Woman balancing on edge of fountain while sticking her toe in the water.,Une femme assise sur le sol grassier.
458,Woman balancing on edge of fountain while sticking her toe in the water.,An old woman stands on a fountain and sticks her toes in.,1,Woman balancing on edge of fountain while sticking her toe in the water.,Une vieille femme se tient sur une fontaine et elle s'en bâtonne.
459,A couple strolls arm and arm and hand in hand down a city sidewalk.,The couple is outdoors.,0,Quelques-uns marchent de bras et de bras et de main en main sur un trottoir de la ville.,Le couple est à l'extérieur.
460,A couple strolls arm and arm and hand in hand down a city sidewalk.,The couple is married.,1,Quelques-uns marchent de bras et de bras et de main en main sur un trottoir de la ville.,Le couple est marié.
461,A couple strolls arm and arm and hand in hand down a city sidewalk.,The couple is having dinner at a restaurant.,2,Quelques-uns marchent de bras et de bras et de main en main sur un trottoir de la ville.,Le couple dîner dans un restaurant.
462,A man stare at a passing couple while walking down the block.,A man stares at a passing couple.,0,Un homme regarde un couple qui passe en marche sur le bloc.,Un homme regarde un couple qui passe.
463,A man stare at a passing couple while walking down the block.,The man is jealous of the couple.,1,Un homme regarde un couple qui passe en marche sur le bloc.,L'homme est jaloux du couple.
464,A man stare at a passing couple while walking down the block.,The woman stares at a couple as they argue down the block.,2,Un homme regarde un couple qui passe en marche sur le bloc.,La femme regarde un couple à l'encontre d'un couple à l'encontre de l'autre.
465,"a couple are holding hands behind their backs while walking down a street, and the man has his arm around her shoulder.",couple walking home,1,"un couple tient les mains derrière leur dos pendant qu'il marche sur une rue, et l'homme a son bras autour de son épaules.",couple à la maison
466,"a couple are holding hands behind their backs while walking down a street, and the man has his arm around her shoulder.",couple walking,0,"un couple tient les mains derrière leur dos pendant qu'il marche sur une rue, et l'homme a son bras autour de son épaules.",couple walking
467,"a couple are holding hands behind their backs while walking down a street, and the man has his arm around her shoulder.",bear in zoo,2,"un couple tient les mains derrière leur dos pendant qu'il marche sur une rue, et l'homme a son bras autour de son épaules.",bear in zoo
468,A man and a woman are holding hands as they walk along a city sidewalk.,A married couple are fighting on the sidewalk.,2,Un homme et une femme tiennent les mains lorsqu'ils marchent le long d'un trottoir de la ville.,Un couple marié se bat sur le trottoir.
469,A man and a woman are holding hands as they walk along a city sidewalk.,A married couple are holding hands as they walk along the city sidewalk.,1,Un homme et une femme tiennent les mains lorsqu'ils marchent le long d'un trottoir de la ville.,Un couple marié tient les mains lorsqu'il marche le long du trottoir de la ville.
470,A man and a woman are holding hands as they walk along a city sidewalk.,A man and a woman are holding hands.,0,Un homme et une femme tiennent les mains lorsqu'ils marchent le long d'un trottoir de la ville.,Un homme et une femme tiennent les mains.
471,a man in red stands with his child at the beach.,A man wearing blue sleeping with his child in his lap inside his home.,2,Un homme en rouge se tient avec son enfant à la plage.,Un homme portant le bleu dormant avec son enfant dans son laps à l'intérieur de sa maison.
472,a man in red stands with his child at the beach.,A man wearing red standing with his child at a beach overlooking the ocean.,1,Un homme en rouge se tient avec son enfant à la plage.,Un homme en rouge debout avec son enfant sur une plage surplombant l'océan.
473,a man in red stands with his child at the beach.,A man wearing red standing with his child as they watch others build sand castles at the beach.,1,Un homme en rouge se tient avec son enfant à la plage.,Un homme en rouge debout avec son enfant en regardant les autres construire des châteaux de sable à la plage.
474,New sport is being played to show appreciation to the kids who can not walk.,People are playing a sport in honor of crippled people.,0,Un nouveau sport est en train d'être joué pour montrer l'appréciation aux enfants qui ne peuvent pas marcher.,Les gens jouent un sport en l'honneur des personnes paralysées.
475,New sport is being played to show appreciation to the kids who can not walk.,People are playing football without gear.,2,Un nouveau sport est en train d'être joué pour montrer l'appréciation aux enfants qui ne peuvent pas marcher.,Les gens jouent le football sans engins.
476,New sport is being played to show appreciation to the kids who can not walk.,People a playing a sport to help fund a crippled people fund.,1,Un nouveau sport est en train d'être joué pour montrer l'appréciation aux enfants qui ne peuvent pas marcher.,Les gens a jouer un sport pour aider à financer un fonds de personnes paralysées.
477,Two men in wheelchairs are reaching in the air for a basketball.,Two sad men in wheelchairs are reaching in the air for a basketball.,1,Deux hommes en fauteuil roulant se rendent dans l'air pour un basket-ball.,Deux tristes hommes en fauteuil roulant arrivent dans l'air pour un basket-ball.
478,Two men in wheelchairs are reaching in the air for a basketball.,Two people in wheelchairs are reaching in the air for a basketball.,0,Deux hommes en fauteuil roulant se rendent dans l'air pour un basket-ball.,Deux personnes en fauteuil roulant se rendent dans l'air pour un basket-ball.
479,Two men in wheelchairs are reaching in the air for a basketball.,Two women in wheelchairs are reaching in the air for a basketball.,2,Deux hommes en fauteuil roulant se rendent dans l'air pour un basket-ball.,Deux femmes en fauteuil roulant se rendent dans l'air pour un basket-ball.
480,Three wheelchair basketball players wearing team uniforms are attempting to reach the descending basketball with other players in the background.,Some wheelchair basketball players playing the basketball match.,1,Trois joueurs de basket-ball en fauteuil roulant portant des uniformes d'équipe tentent d'atteindre le basket-ball descendant avec d'autres joueurs dans l'arrière-plan.,Certains joueurs de basketball en fauteuil roulant jouent le match de basketball.
481,Three wheelchair basketball players wearing team uniforms are attempting to reach the descending basketball with other players in the background.,Three wheelchair basketball players playing basketball in field.,0,Trois joueurs de basket-ball en fauteuil roulant portant des uniformes d'équipe tentent d'atteindre le basket-ball descendant avec d'autres joueurs dans l'arrière-plan.,Trois joueurs de basket-ball en fauteuil roulant jouent sur le terrain.
482,Three wheelchair basketball players wearing team uniforms are attempting to reach the descending basketball with other players in the background.,A peoples are taking coffee together at coffeshop.,2,Trois joueurs de basket-ball en fauteuil roulant portant des uniformes d'équipe tentent d'atteindre le basket-ball descendant avec d'autres joueurs dans l'arrière-plan.,Les peuples prennent du café ensemble à coffeshop.
483,Four guys in wheelchairs on a basketball court two are trying to grab a basketball in midair.,Four guys are playing cards.,2,Quatre personnes en fauteuil roulant sur un court de basket-ball essaient d'obtenir un basket-ball en mi-air.,Quatre garçons jouent des cartes.
484,Four guys in wheelchairs on a basketball court two are trying to grab a basketball in midair.,Four guys are playing basketball.,0,Quatre personnes en fauteuil roulant sur un court de basket-ball essaient d'obtenir un basket-ball en mi-air.,Quatre garçons jouent le basket-ball.
485,Four guys in wheelchairs on a basketball court two are trying to grab a basketball in midair.,The four players are handicapped.,1,Quatre personnes en fauteuil roulant sur un court de basket-ball essaient d'obtenir un basket-ball en mi-air.,Les quatre joueurs sont handicapés.
486,Three dogs in different shades of brown and white biting and licking each other.,the dogs are fighting,2,Trois chiens à différentes nuances de brun et de blanc s'en lisent et se lisent l'un l'autre.,Les chiens combattent
487,Three dogs in different shades of brown and white biting and licking each other.,there are three dogs,0,Trois chiens à différentes nuances de brun et de blanc s'en lisent et se lisent l'un l'autre.,Il y a trois chiens
488,Three dogs in different shades of brown and white biting and licking each other.,the dog playing,1,Trois chiens à différentes nuances de brun et de blanc s'en lisent et se lisent l'un l'autre.,le chien jouant
489,"Two dogs playfully bite a third dog, which has its tongue sticking out.","Two puppies bite their mother, while she pants.",1,"Deux chiens mutilent un troisième chien, qui a sa langue à l'écart.","Deux chiots bitenent leur mère, tandis qu'elle pâtit en pantalon."
490,"Two dogs playfully bite a third dog, which has its tongue sticking out.",Two dogs are sleeping while a third eats its food.,2,"Deux chiens mutilent un troisième chien, qui a sa langue à l'écart.",Deux chiens dorment alors qu'un tiers mange sa nourriture.
491,"Two dogs playfully bite a third dog, which has its tongue sticking out.",A pair of dogs tease a third with nibbles.,0,"Deux chiens mutilent un troisième chien, qui a sa langue à l'écart.",Une paire de chiens tease un troisième avec des nibbles.
492,Three small puppies bite and play together in the grass.,The puppies are sleeping in a basket.,2,Trois petits chiots mâchent et jouent ensemble dans l'herbe.,Les chiots dorment dans un panier.
493,Three small puppies bite and play together in the grass.,They are playing at the dog park.,1,Trois petits chiots mâchent et jouent ensemble dans l'herbe.,Ils jouent dans le parc de chiens.
494,Three small puppies bite and play together in the grass.,Three puppies are playing outside.,0,Trois petits chiots mâchent et jouent ensemble dans l'herbe.,Trois chiots jouent à l'extérieur.
495,Two dogs biting another dog in a field.,dogs bitting,1,Deux chiens bitant un autre chien dans un champ.,chiens bitting
496,Two dogs biting another dog in a field.,dogs attacking another dog,0,Deux chiens bitant un autre chien dans un champ.,les chiens qui attaquent un autre chien
497,Two dogs biting another dog in a field.,dog sitting in filed,2,Deux chiens bitant un autre chien dans un champ.,chien assis en file
498,Tourists waiting at a train stop.,Tourist walking around an art museum.,2,Touristes en attente à un arrêt de train.,Touriste à pied autour d'un musée d'art.
499,Tourists waiting at a train stop.,A group of tourist waiting for a train outside.,1,Touristes en attente à un arrêt de train.,Un groupe de touristes en attente d'un train à l'extérieur.
500,Tourists waiting at a train stop.,A group of tourist waiting for a train at a train station.,0,Touristes en attente à un arrêt de train.,Un groupe de touristes en attente d'un train à la gare.
501,A doctor in blue scrubs is performing an operation assisted by two men and a woman.,a old man was talking,0,Un médecin en sceaux bleus effectue une opération avec l'aide de deux hommes et d'une femme.,Un vieux homme parlait
502,A doctor in blue scrubs is performing an operation assisted by two men and a woman.,the boys were angry,2,Un médecin en sceaux bleus effectue une opération avec l'aide de deux hommes et d'une femme.,Les garçons étaient en colère
503,A doctor in blue scrubs is performing an operation assisted by two men and a woman.,the child was happy,1,Un médecin en sceaux bleus effectue une opération avec l'aide de deux hommes et d'une femme.,l'enfant était heureux
504,A woman with a black jacket walks past an outdoor movie poster.,A female is leaving a movie theatre.,1,Une femme ayant une veste noire traverse une affiche de films extérieurs.,Une femme quitte un cinéma.
505,A woman with a black jacket walks past an outdoor movie poster.,A woman walking outside.,0,Une femme ayant une veste noire traverse une affiche de films extérieurs.,Une femme qui marche à l'extérieur.
506,A woman with a black jacket walks past an outdoor movie poster.,A woman is cleaning up.,2,Une femme ayant une veste noire traverse une affiche de films extérieurs.,Une femme est en nettoyage.
507,A man in an elf hat holding a white umbrella is standing on the sidewalk with two other men.,A man stands.,0,Un homme dans un chapeau d'elfe muni d'un parapluie blanc se tient sur le trottoir avec deux autres hommes.,Un homme est en place.
508,A man in an elf hat holding a white umbrella is standing on the sidewalk with two other men.,"My love's like a red, red wig.",2,Un homme dans un chapeau d'elfe muni d'un parapluie blanc se tient sur le trottoir avec deux autres hommes.,"Mon amour ressemble à une perruque rouge, rouge."
509,A man in an elf hat holding a white umbrella is standing on the sidewalk with two other men.,Others are nearby.,1,Un homme dans un chapeau d'elfe muni d'un parapluie blanc se tient sur le trottoir avec deux autres hommes.,D'autres sont à proximité.
510,Indian lady and a guy in a blue suit dancing in the sunlight.,A woman eats a pickle.,2,Une femme indienne et un guy en suit bleu dansant dans le soleil.,Une femme mange un élevage.
511,Indian lady and a guy in a blue suit dancing in the sunlight.,Two people dancing outdoors.,0,Une femme indienne et un guy en suit bleu dansant dans le soleil.,Deux personnes dansent à l'extérieur.
512,Indian lady and a guy in a blue suit dancing in the sunlight.,Two people dancing while a band performs.,1,Une femme indienne et un guy en suit bleu dansant dans le soleil.,Deux personnes dansent pendant qu'un groupe exécute.
513,Two older men are talking.,Two people are having a conversation.,0,Deux hommes plus âgés parlent.,Deux personnes ont une conversation.
514,Two older men are talking.,Men are exchanging ideas.,1,Deux hommes plus âgés parlent.,Les hommes échangent des idées.
515,Two older men are talking.,A crowd is talking over each other.,2,Deux hommes plus âgés parlent.,Une foule parle l'un sur l'autre.
516,A mountain biker jumping a slope outdoors in a forest area.,They are going fast.,1,Un motocycliste de montagne saute une pente à l'extérieur dans une zone forestière.,Ils avancent rapidement.
517,A mountain biker jumping a slope outdoors in a forest area.,A biker is doing jumps by trees.,0,Un motocycliste de montagne saute une pente à l'extérieur dans une zone forestière.,Un cycliste fait des sauts par des arbres.
518,A mountain biker jumping a slope outdoors in a forest area.,They aren't on bikes.,2,Un motocycliste de montagne saute une pente à l'extérieur dans une zone forestière.,Ils ne sont pas sur des vélos.
519,A mountain biker jumping a slope outdoors in a forest area.,A person is trying to learn new tricks on their bike.,1,Un motocycliste de montagne saute une pente à l'extérieur dans une zone forestière.,Une personne essaie d'apprendre de nouvelles trucs sur son vélo.
520,A mountain biker jumping a slope outdoors in a forest area.,The biker is jumping into a hole.,0,Un motocycliste de montagne saute une pente à l'extérieur dans une zone forestière.,Le motocycliste saute dans un trou.
521,A mountain biker jumping a slope outdoors in a forest area.,A person rides a bike outdoors.,0,Un motocycliste de montagne saute une pente à l'extérieur dans une zone forestière.,Une personne emprunte un vélo à l'extérieur.
522,A mountain biker jumping a slope outdoors in a forest area.,The biker can be a man or a woman,1,Un motocycliste de montagne saute une pente à l'extérieur dans une zone forestière.,Le vélo peut être un homme ou une femme
523,A mountain biker jumping a slope outdoors in a forest area.,There's a biker,0,Un motocycliste de montagne saute une pente à l'extérieur dans une zone forestière.,Il y a un vélour
524,A mountain biker jumping a slope outdoors in a forest area.,A biker is doing jumps in a wooded area.,1,Un motocycliste de montagne saute une pente à l'extérieur dans une zone forestière.,Un motocycliste fait des sauts dans une zone boisée.
525,A mountain biker jumping a slope outdoors in a forest area.,The biker is using a small bike to jump a hole.,1,Un motocycliste de montagne saute une pente à l'extérieur dans une zone forestière.,Le motocycliste utilise un petit vélo pour sauter un trou.
526,A mountain biker jumping a slope outdoors in a forest area.,They are avoiding trees.,0,Un motocycliste de montagne saute une pente à l'extérieur dans une zone forestière.,Ils évitent les arbres.
527,A mountain biker jumping a slope outdoors in a forest area.,The mountain biker is going on a desert trail.,2,Un motocycliste de montagne saute une pente à l'extérieur dans une zone forestière.,Le vélo de montagne se déplace sur un sentier désert.
528,A mountain biker jumping a slope outdoors in a forest area.,The biker is trying to jump over a volcano.,2,Un motocycliste de montagne saute une pente à l'extérieur dans une zone forestière.,Le vélo essaie de sauter au-dessus d'un volcan.
529,A mountain biker jumping a slope outdoors in a forest area.,He's indoors,2,Un motocycliste de montagne saute une pente à l'extérieur dans une zone forestière.,Il est à l'intérieur
530,A mountain biker jumping a slope outdoors in a forest area.,A person is riding in a bobsled.,2,Un motocycliste de montagne saute une pente à l'extérieur dans une zone forestière.,Une personne roule dans un bobsled.
531,Two older men in winter coats talking outside of a shop with a grassy lawn covered in a light coat of snow in front of it.,The old men are discussing the weather.,1,Deux hommes plus âgés dans les manteaux d'hiver parlant à l'extérieur d'un atelier avec une pelouse grasse recouverte d'une couche légère,Les vieux hommes discutent de la météo.
532,Two older men in winter coats talking outside of a shop with a grassy lawn covered in a light coat of snow in front of it.,Two old men in winter coats talk outside.,0,Deux hommes plus âgés dans les manteaux d'hiver parlant à l'extérieur d'un atelier avec une pelouse grasse recouverte d'une couche légère,Deux hommes âgés en manteau d'hiver parlent à l'extérieur.
533,Two older men in winter coats talking outside of a shop with a grassy lawn covered in a light coat of snow in front of it.,The old men are wearing raincoats.,2,Deux hommes plus âgés dans les manteaux d'hiver parlant à l'extérieur d'un atelier avec une pelouse grasse recouverte d'une couche légère,Les vieux hommes portent des manteaux de pluie.
534,"Two elderly men having a conversation, snow covered grass in the background.",The men are drinking coffee and having some cookies,2,"Deux hommes âgés qui ont une conversation, l'herbe couverte de neige en fond.",Les hommes boivent du café et ont quelques biscuits.
535,"Two elderly men having a conversation, snow covered grass in the background.",The men are sleeping,2,"Deux hommes âgés qui ont une conversation, l'herbe couverte de neige en fond.",Les hommes dorment
536,"Two elderly men having a conversation, snow covered grass in the background.",There are two men outside in this picture,0,"Deux hommes âgés qui ont une conversation, l'herbe couverte de neige en fond.",Il y a deux hommes à l'extérieur dans cette image
537,Two men are standing outside and snow is on the ground.,Two men preparing for a snowball fight.,1,Deux hommes se trouvent à l'extérieur et la neige est sur le sol.,Deux hommes se préparant à la bataille de boule de neige.
538,Two men are standing outside and snow is on the ground.,People are near snow.,0,Deux hommes se trouvent à l'extérieur et la neige est sur le sol.,Les gens sont proches de la neige.
539,Two men are standing outside and snow is on the ground.,Men making snow angels.,2,Deux hommes se trouvent à l'extérieur et la neige est sur le sol.,Men making snow angels.
540,Two older men in coats are standing outside.,These men never wore coats.,2,Deux hommes plus âgés en manteaux se trouvent à l'extérieur.,Ces hommes n'ont jamais porté de manteaux.
541,Two older men in coats are standing outside.,They are outside wearing coats.,0,Deux hommes plus âgés en manteaux se trouvent à l'extérieur.,Ils sont à l'extérieur portant des manteaux.
542,Two older men in coats are standing outside.,"It is cold, but they went outside anyway.",1,Deux hommes plus âgés en manteaux se trouvent à l'extérieur.,"C'est froid, mais ils sont allés à l'extérieur de toute façon."
543,A gentleman in a purple scarf and hat is looking at money while holding an accordion.,A woman is brushing her hair in her bedroom.,2,Un gentleman dans un écueil et chapeau pourpre regarde l'argent tout en gardant un accordion.,Une femme brosse ses cheveux dans sa chambre.
544,A gentleman in a purple scarf and hat is looking at money while holding an accordion.,A man is holding an accordian.,0,Un gentleman dans un écueil et chapeau pourpre regarde l'argent tout en gardant un accordion.,Un homme détient un accordien.
545,A gentleman in a purple scarf and hat is looking at money while holding an accordion.,A man is looking at a hundreds of dollars.,1,Un gentleman dans un écueil et chapeau pourpre regarde l'argent tout en gardant un accordion.,Un homme regarde des centaines de dollars.
546,BMX biker jumps over a ravine.,ravine jumping is never easy,1,Le motocycliste BMX saute au-dessus d'un ravin.,Le saut de ravine n'est jamais facile
547,BMX biker jumps over a ravine.,there is a bmx biker who is perfect in ravine jumping,0,Le motocycliste BMX saute au-dessus d'un ravin.,il y a un motocycliste bmx qui est parfait dans le saut de ravine
548,BMX biker jumps over a ravine.,anybody can do ravine jumping,2,Le motocycliste BMX saute au-dessus d'un ravin.,quiconque peut faire le saut de ravine
549,A white bike is tied to a street sign.,the bike is tied to a stop sign,1,Un vélo blanc est relié à un panneau de rue.,le vélo est relié à un panneau d'arrêt
550,A white bike is tied to a street sign.,the car is parked at the sign,2,Un vélo blanc est relié à un panneau de rue.,la voiture est stationnée au panneau
551,A white bike is tied to a street sign.,the bike is tied to a sign,0,Un vélo blanc est relié à un panneau de rue.,le vélo est relié à un panneau
552,A white bike is leaning against a post.,A bike is on the ground about to be reparied,2,Un vélo blanc s'incline contre un poste.,Un vélo est sur le terrain sur le point d'être réparé
553,A white bike is leaning against a post.,A bike with a flat tire is not being ridden,1,Un vélo blanc s'incline contre un poste.,Un vélo à pneus plats n'est pas emprunté
554,A white bike is leaning against a post.,A bike it outside,0,Un vélo blanc s'incline contre un poste.,Un vélo à l'extérieur
555,The boy locked the cycle and went away.,A boy riding a bike.,2,Le garçon a verrouillé le cycle et a disparu.,Un garçon en vélo.
556,The boy locked the cycle and went away.,A boy walking away.,0,Le garçon a verrouillé le cycle et a disparu.,Un garçon qui s'éloigne.
557,The boy locked the cycle and went away.,A bicycle chained up with a boy walking away.,1,Le garçon a verrouillé le cycle et a disparu.,Une bicyclette enchaînée avec un garçon qui marche loin.
558,A crowded city during daytime.,A city filled with people in the middle of the daytime.,0,Une ville surpeuplée durant la journée.,Une ville remplie de gens au milieu de la journée.
559,A crowded city during daytime.,A abandoned city at the edge of the world.,2,Une ville surpeuplée durant la journée.,Une ville abandonnée au bord du monde.
560,A crowded city during daytime.,A crowded city filled with many cars on a warm summer day.,1,Une ville surpeuplée durant la journée.,Une ville surpeuplée remplie de nombreuses voitures sur une journée d'été chaude.
561,People walking around in a big city.,People are walking to the park.,1,Personnes qui marchent dans une grande ville.,Les gens marchent jusqu'au parc.
562,People walking around in a big city.,People are outside.,0,Personnes qui marchent dans une grande ville.,Les gens sont à l'extérieur.
563,People walking around in a big city.,The people are asleep.,2,Personnes qui marchent dans une grande ville.,Les gens dorment.
564,A busy city that looks like New York City.,The city has a lot of people in it.,0,Une ville occupée qui ressemble à New York.,La ville compte beaucoup de gens dans elle.
565,A busy city that looks like New York City.,The city is very large.,1,Une ville occupée qui ressemble à New York.,La ville est très grande.
566,A busy city that looks like New York City.,"The city looks like Lawrence, Kansas.",2,Une ville occupée qui ressemble à New York.,"La ville ressemble à Lawrence, au Kansas."
567,"A view of buildings and people walking across the streets in Times Square, New York City.",There is a city.,0,"A view of buildings and people walking across the streets in Times Square, New York City.",Il y a une ville.
568,"A view of buildings and people walking across the streets in Times Square, New York City.",The field of poppies is perfectly still.,2,"A view of buildings and people walking across the streets in Times Square, New York City.",Le domaine des poppies est encore parfaitement en vigueur.
569,"A view of buildings and people walking across the streets in Times Square, New York City.",Times Square in New York City is full of people and bustling with noise and activity.,1,"A view of buildings and people walking across the streets in Times Square, New York City.",Times Square à New York est plein de gens et animé de bruit et d'activités.
570,A woman is making a clay pot.,A man is painting a painting.,2,Une femme fabrique un pot d'argile.,Un homme peint un peintre.
571,A woman is making a clay pot.,A woman is making a flower pot.,1,Une femme fabrique un pot d'argile.,Une femme fabrique un pot de fleurs.
572,A woman is making a clay pot.,An artist is sculpting with clay.,0,Une femme fabrique un pot d'argile.,Un artiste sculpte avec de l'argile.
573,A barber waiting for customers.,A barber is inside his shop standing in the front.,1,Un barber en attente de clients.,Un barber se trouve à l'intérieur de son atelier et se trouve à l'avant.
574,A barber waiting for customers.,A barber is at work.,0,Un barber en attente de clients.,Un barber est au travail.
575,A barber waiting for customers.,The barber is closing the shop at the end of the day.,2,Un barber en attente de clients.,Le barber ferme la boutique en fin de journée.
576,A man sitting in a barber shop.,There is an individual waiting indoors.,0,Un homme assis dans un atelier de barber.,Il y a une personne qui attend à l'intérieur.
577,A man sitting in a barber shop.,A man is waiting to get his haircut.,1,Un homme assis dans un atelier de barber.,Un homme attend sa coupe.
578,A man sitting in a barber shop.,A man is brushing his teeth.,2,Un homme assis dans un atelier de barber.,Un homme brosse ses dents.
579,A woman preparing to glaze a bowl.,A woman happily preparing to glaze,1,Une femme qui se prépare à glacer un bol.,Une femme se prépare heureusement à la glaçure
580,A woman preparing to glaze a bowl.,A woman not preparing to glaze,2,Une femme qui se prépare à glacer un bol.,Une femme qui ne se prépare pas à glaçer
581,A woman preparing to glaze a bowl.,A woman preparing to glaze,0,Une femme qui se prépare à glacer un bol.,Une femme prête à la glaçure
582,"A woman wearing an apron inspects a large pot on a table filled with cups, bowls, pots and baskets of assorted size.",A woman wearing gloves is washing dishes.,2,"Une femme portant un apron inspecte un grand pot sur une table remplie de tasses, de bols, de pots et de paniers de tailles diverses.",Une femme portant des gants lave des vaisselles.
583,"A woman wearing an apron inspects a large pot on a table filled with cups, bowls, pots and baskets of assorted size.","A woman wearing a red apron inspects a large black pot on a table filled with cups, bowls, pots and baskets of assorted size.",1,"Une femme portant un apron inspecte un grand pot sur une table remplie de tasses, de bols, de pots et de paniers de tailles diverses.","Une femme portant une aprone rouge inspecte un grand pot noir sur une table remplie de tasses, de bols, de pots et de paniers de tailles diverses."
584,"A woman wearing an apron inspects a large pot on a table filled with cups, bowls, pots and baskets of assorted size.",A woman is wearing an apron.,0,"Une femme portant un apron inspecte un grand pot sur une table remplie de tasses, de bols, de pots et de paniers de tailles diverses.",Une femme porte une aprone.
585,A model posing to look as if she's a real female soccer player.,A man is modeling for a cooking show.,2,Un modèle posant d'apparaître comme s'il s'agissait d'une véritable femme de soccer.,Un homme modélise un spectacle de cuisine.
586,A model posing to look as if she's a real female soccer player.,A woman is trying to model for a sports magazine.,1,Un modèle posant d'apparaître comme s'il s'agissait d'une véritable femme de soccer.,Une femme cherche à modeler un magazine sportif.
587,A model posing to look as if she's a real female soccer player.,A model is doing a shoot.,0,Un modèle posant d'apparaître comme s'il s'agissait d'une véritable femme de soccer.,Un modèle réalise un tir.
588,Firemen emerge from a subway station.,Firemen walking outside,0,Des pompiers sortent d'une gare de métro.,Les pompiers qui marchent à l'extérieur
589,Firemen emerge from a subway station.,The station is empty,2,Des pompiers sortent d'une gare de métro.,La gare est vide
590,Firemen emerge from a subway station.,The firemen are not working,1,Des pompiers sortent d'une gare de métro.,Les pompiers ne travaillent pas
591,Exhausted looking firemen are walking.,Firemen are walking.,0,Les pompiers épuisés marchent.,Les pompiers marchent.
592,Exhausted looking firemen are walking.,Exhausted looking firemen are walking back to the fire station to rest.,1,Les pompiers épuisés marchent.,Les pompiers épuisés se rendent à la station d'incendie pour se reposer.
593,Exhausted looking firemen are walking.,Determined looking firemen are running into a burning building.,2,Les pompiers épuisés marchent.,Les pompiers déterminés se trouvent dans un immeuble brûlant.
594,"Three firefighters, the nearest firefighter is holding a helmet in his left hand.",Three man are holding axes in their left hands.,2,"Trois pompiers, le pompier le plus proche tient un casque à gauche.",Trois hommes tiennent des axes dans leurs mains gauches.
595,"Three firefighters, the nearest firefighter is holding a helmet in his left hand.",The three firefighters are discussing sports.,1,"Trois pompiers, le pompier le plus proche tient un casque à gauche.",Les trois pompiers discutent des sports.
596,"Three firefighters, the nearest firefighter is holding a helmet in his left hand.",The firemen are gathered one is holding his helmet.,0,"Trois pompiers, le pompier le plus proche tient un casque à gauche.",Les pompiers sont rassemblés un porte son casque.
597,A man walking along side a clean up crew.,The man directed the clean up crew where to go.,1,Un homme qui marche le long d'un équipage de nettoyage.,L'homme a dirigé l'équipage d'assainissement où aller.
598,A man walking along side a clean up crew.,The woman jogged alongside the crew.,2,Un homme qui marche le long d'un équipage de nettoyage.,La femme s'est jointe aux côtés de l'équipage.
599,A man walking along side a clean up crew.,The man walked alongside the crew.,0,Un homme qui marche le long d'un équipage de nettoyage.,L'homme s'est promené à côté de l'équipage.
600,A little boy swims underwater.,A boy floats on top of water.,2,Un petit garçon nage sous-marin.,Un garçon flotte au-dessus de l'eau.
601,A little boy swims underwater.,A little boy swimming at a beach.,1,Un petit garçon nage sous-marin.,Un petit garçon naissant sur une plage.
602,A little boy swims underwater.,A child swimming.,0,Un petit garçon nage sous-marin.,Un enfant naissant.
603,A driver is racing his Ford vehicle on a gravel track.,A man has parked his truck.,2,Un conducteur essaie son véhicule Ford sur une piste de gravier.,Un homme a garé son camion.
604,A driver is racing his Ford vehicle on a gravel track.,A Ford is being driven on a track.,0,Un conducteur essaie son véhicule Ford sur une piste de gravier.,Un Ford est en train de conduire sur une voie.
605,A driver is racing his Ford vehicle on a gravel track.,A man is racing his truck.,1,Un conducteur essaie son véhicule Ford sur une piste de gravier.,Un homme traverse son camion.
